Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-4.029e-03,0.08
-4.026e-03,0.08
-4.022e-03,0.06
-4.019e-03,0.08
-4.016e-03,0.1
-4.013e-03,0.08
-4.010e-03,0.1
-4.006e-03,0.1
-4.003e-03,0.1
-4.000e-03,0.1
-3.997e-03,0.12
-3.994e-03,0.12
-3.990e-03,0.1
-3.987e-03,0.12
-3.984e-03,0.12
-3.981e-03,0.14
-3.978e-03,0.12
-3.974e-03,0.14
-3.971e-03,0.16
-3.968e-03,0.16
-3.965e-03,0.16
-3.962e-03,0.16
-3.958e-03,0.18
-3.955e-03,0.18
-3.952e-03,0.2
-3.949e-03,0.2
-3.946e-03,0.2
-3.942e-03,0.18
-3.939e-03,0.2
-3.936e-03,0.22
-3.933e-03,0.22
-3.930e-03,0.22
-3.926e-03,0.24
-3.923e-03,0.22
-3.920e-03,0.24
-3.917e-03,0.26
-3.914e-03,0.26
-3.910e-03,0.26
-3.907e-03,0.28
-3.904e-03,0.28
-3.901e-03,0.28
-3.898e-03,0.28
-3.894e-03,0.28
-3.891e-03,0.3
-3.888e-03,0.3
-3.885e-03,0.32
-3.882e-03,0.32
-3.878e-03,0.34
-3.875e-03,0.34
-3.872e-03,0.34
-3.869e-03,0.36
-3.866e-03,0.36
-3.862e-03,0.36
-3.859e-03,0.38
-3.856e-03,0.38
-3.853e-03,0.4
-3.850e-03,0.4
-3.846e-03,0.42
-3.843e-03,0.42
-3.840e-03,0.42
-3.837e-03,0.42
-3.834e-03,0.44
-3.830e-03,0.44
-3.827e-03,0.46
-3.824e-03,0.46
-3.821e-03,0.48
-3.818e-03,0.48
-3.814e-03,0.5
-3.811e-03,0.5
-3.808e-03,0.5
-3.805e-03,0.52
-3.802e-03,0.52
-3.798e-03,0.54
-3.795e-03,0.54
-3.792e-03,0.56
-3.789e-03,0.56
-3.786e-03,0.58
-3.782e-03,0.58
-3.779e-03,0.6
-3.776e-03,0.58
-3.773e-03,0.6
-3.770e-03,0.62
-3.766e-03,0.62
-3.763e-03,0.64
-3.760e-03,0.62
-3.757e-03,0.66
-3.754e-03,0.66
-3.750e-03,0.66
-3.747e-03,0.68
-3.744e-03,0.68
-3.741e-03,0.7
-3.738e-03,0.7
-3.734e-03,0.72
-3.731e-03,0.72
-3.728e-03,0.74
-3.725e-03,0.76
-3.722e-03,0.76
-3.718e-03,0.76
-3.715e-03,0.78
-3.712e-03,0.78
-3.709e-03,0.8
-3.706e-03,0.8
-3.702e-03,0.8
-3.699e-03,0.82
-3.696e-03,0.84
-3.693e-03,0.84
-3.690e-03,0.84
-3.686e-03,0.86
-3.683e-03,0.88
-3.680e-03,0.88
-3.677e-03,0.88
-3.674e-03,0.9
-3.670e-03,0.92
-3.667e-03,0.92
-3.664e-03,0.92
-3.661e-03,0.94
-3.658e-03,0.94
-3.654e-03,0.96
-3.651e-03,0.96
-3.648e-03,0.98
-3.645e-03,0.98
-3.642e-03,1
-3.638e-03,1
-3.635e-03,1.02
-3.632e-03,1.02
-3.629e-03,1.04
-3.626e-03,1.04
-3.622e-03,1.06
-3.619e-03,1.06
-3.616e-03,1.06
-3.613e-03,1.08
-3.610e-03,1.1
-3.606e-03,1.1
-3.603e-03,1.1
-3.600e-03,1.12
-3.597e-03,1.14
-3.594e-03,1.14
-3.590e-03,1.14
-3.587e-03,1.16
-3.584e-03,1.16
-3.581e-03,1.18
-3.578e-03,1.18
-3.574e-03,1.2
-3.571e-03,1.22
-3.568e-03,1.22
-3.565e-03,1.22
-3.562e-03,1.24
-3.558e-03,1.24
-3.555e-03,1.26
-3.552e-03,1.28
-3.549e-03,1.28
-3.546e-03,1.28
-3.542e-03,1.3
-3.539e-03,1.3
-3.536e-03,1.32
-3.533e-03,1.32
-3.530e-03,1.34
-3.526e-03,1.34
-3.523e-03,1.36
-3.520e-03,1.38
-3.517e-03,1.36
-3.514e-03,1.38
-3.510e-03,1.38
-3.507e-03,1.4
-3.504e-03,1.4
-3.501e-03,1.42
-3.498e-03,1.44
-3.494e-03,1.44
-3.491e-03,1.44
-3.488e-03,1.46
-3.485e-03,1.46
-3.482e-03,1.48
-3.478e-03,1.48
-3.475e-03,1.48
-3.472e-03,1.5
-3.469e-03,1.52
-3.466e-03,1.52
-3.462e-03,1.52
-3.459e-03,1.54
-3.456e-03,1.54
-3.453e-03,1.54
-3.450e-03,1.56
-3.446e-03,1.56
-3.443e-03,1.58
-3.440e-03,1.58
-3.437e-03,1.58
-3.434e-03,1.6
-3.430e-03,1.62
-3.427e-03,1.62
-3.424e-03,1.62
-3.421e-03,1.62
-3.418e-03,1.64
-3.414e-03,1.64
-3.411e-03,1.66
-3.408e-03,1.66
-3.405e-03,1.68
-3.402e-03,1.68
-3.398e-03,1.68
-3.395e-03,1.7
-3.392e-03,1.7
-3.389e-03,1.72
-3.386e-03,1.72
-3.382e-03,1.72
-3.379e-03,1.72
-3.376e-03,1.72
-3.373e-03,1.74
-3.370e-03,1.74
-3.366e-03,1.76
-3.363e-03,1.76
-3.360e-03,1.78
-3.357e-03,1.78
-3.354e-03,1.78
-3.350e-03,1.78
-3.347e-03,1.8
-3.344e-03,1.8
-3.341e-03,1.8
-3.338e-03,1.82
-3.334e-03,1.82
-3.331e-03,1.84
-3.328e-03,1.82
-3.325e-03,1.82
-3.322e-03,1.84
-3.318e-03,1.84
-3.315e-03,1.84
-3.312e-03,1.84
-3.309e-03,1.86
-3.306e-03,1.86
-3.302e-03,1.88
-3.299e-03,1.86
-3.296e-03,1.88
-3.293e-03,1.88
-3.290e-03,1.88
-3.286e-03,1.88
-3.283e-03,1.9
-3.280e-03,1.9
-3.277e-03,1.9
-3.274e-03,1.92
-3.270e-03,1.92
-3.267e-03,1.9
-3.264e-03,1.92
-3.261e-03,1.92
-3.258e-03,1.92
-3.254e-03,1.92
-3.251e-03,1.94
-3.248e-03,1.94
-3.245e-03,1.94
-3.242e-03,1.94
-3.238e-03,1.94
-3.235e-03,1.94
-3.232e-03,1.94
-3.229e-03,1.96
-3.226e-03,1.94
-3.222e-03,1.96
-3.219e-03,1.96
-3.216e-03,1.96
-3.213e-03,1.96
-3.210e-03,1.98
-3.206e-03,1.98
-3.203e-03,1.98
-3.200e-03,1.98
-3.197e-03,1.98
-3.194e-03,1.98
-3.190e-03,1.98
-3.187e-03,1.98
-3.184e-03,1.98
-3.181e-03,1.98
-3.178e-03,2
-3.174e-03,1.98
-3.171e-03,1.98
-3.168e-03,1.98
-3.165e-03,1.98
-3.162e-03,2
-3.158e-03,1.98
-3.155e-03,2
-3.152e-03,2
-3.149e-03,2
-3.146e-03,1.98
-3.142e-03,1.98
-3.139e-03,2
-3.136e-03,1.98
-3.133e-03,1.98
-3.130e-03,1.98
-3.126e-03,1.98
-3.123e-03,1.98
-3.120e-03,2
-3.117e-03,1.98
-3.114e-03,1.98
-3.110e-03,1.98
-3.107e-03,1.98
-3.104e-03,1.98
-3.101e-03,1.98
-3.098e-03,1.98
-3.094e-03,1.98
-3.091e-03,1.98
-3.088e-03,1.96
-3.085e-03,1.98
-3.082e-03,1.96
-3.078e-03,1.96
-3.075e-03,1.96
-3.072e-03,1.96
-3.069e-03,1.96
-3.066e-03,1.96
-3.062e-03,1.96
-3.059e-03,1.94
-3.056e-03,1.94
-3.053e-03,1.94
-3.050e-03,1.94
-3.046e-03,1.94
-3.043e-03,1.94
-3.040e-03,1.94
-3.037e-03,1.94
-3.034e-03,1.92
-3.030e-03,1.92
-3.027e-03,1.92
-3.024e-03,1.92
-3.021e-03,1.92
-3.018e-03,1.9
-3.014e-03,1.9
-3.011e-03,1.9
-3.008e-03,1.9
-3.005e-03,1.9
-3.002e-03,1.9
-2.998e-03,1.88
-2.995e-03,1.88
-2.992e-03,1.88
-2.989e-03,1.86
-2.986e-03,1.86
-2.982e-03,1.86
-2.979e-03,1.86
-2.976e-03,1.84
-2.973e-03,1.84
-2.970e-03,1.84
-2.966e-03,1.84
-2.963e-03,1.84
-2.960e-03,1.84
-2.957e-03,1.82
-2.954e-03,1.82
-2.950e-03,1.8
-2.947e-03,1.8
-2.944e-03,1.8
-2.941e-03,1.78
-2.938e-03,1.78
-2.934e-03,1.78
-2.931e-03,1.78
-2.928e-03,1.76
-2.925e-03,1.76
-2.922e-03,1.74
-2.918e-03,1.74
-2.915e-03,1.74
-2.912e-03,1.72
-2.909e-03,1.72
