Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-7.712e-02,3.52
-7.696e-02,3.44
-7.680e-02,3.52
-7.664e-02,3.52
-7.648e-02,3.52
-7.632e-02,3.52
-7.616e-02,3.6
-7.600e-02,3.6
-7.584e-02,3.6
-7.568e-02,3.68
-7.552e-02,3.68
-7.536e-02,3.68
-7.520e-02,3.68
-7.504e-02,3.68
-7.488e-02,3.76
-7.472e-02,3.76
-7.456e-02,3.76
-7.440e-02,3.84
-7.424e-02,3.84
-7.408e-02,3.92
-7.392e-02,3.84
-7.376e-02,3.92
-7.360e-02,3.92
-7.344e-02,3.92
-7.328e-02,4
-7.312e-02,4
-7.296e-02,4
-7.280e-02,4.08
-7.264e-02,4.08
-7.248e-02,4.08
-7.232e-02,4.08
-7.216e-02,4.16
-7.200e-02,4.16
-7.184e-02,4.16
-7.168e-02,4.16
-7.152e-02,4.16
-7.136e-02,4.16
-7.120e-02,4.24
-7.104e-02,4.24
-7.088e-02,4.24
-7.072e-02,4.24
-7.056e-02,4.24
-7.040e-02,4.24
-7.024e-02,4.32
-7.008e-02,4.32
-6.992e-02,4.32
-6.976e-02,4.4
-6.960e-02,4.32
-6.944e-02,4.4
-6.928e-02,4.4
-6.912e-02,4.4
-6.896e-02,4.48
-6.880e-02,4.4
-6.864e-02,4.48
-6.848e-02,4.48
-6.832e-02,4.48
-6.816e-02,4.48
-6.800e-02,4.56
-6.784e-02,4.56
-6.768e-02,4.56
-6.752e-02,4.56
-6.736e-02,4.56
-6.720e-02,4.64
-6.704e-02,4.64
-6.688e-02,4.64
-6.672e-02,4.64
-6.656e-02,4.64
-6.640e-02,4.64
-6.624e-02,4.64
-6.608e-02,4.64
-6.592e-02,4.64
-6.576e-02,4.64
-6.560e-02,4.72
-6.544e-02,4.72
-6.528e-02,4.72
-6.512e-02,4.72
-6.496e-02,4.72
-6.480e-02,4.8
-6.464e-02,4.8
-6.448e-02,4.8
-6.432e-02,4.8
-6.416e-02,4.8
-6.400e-02,4.8
-6.384e-02,4.72
-6.368e-02,4.8
-6.352e-02,4.8
-6.336e-02,4.88
-6.320e-02,4.88
-6.304e-02,4.8
-6.288e-02,4.8
-6.272e-02,4.88
-6.256e-02,4.88
-6.240e-02,4.88
-6.224e-02,4.88
-6.208e-02,4.88
-6.192e-02,4.88
-6.176e-02,4.96
